REGION NUMBER, REGION NAME, DISTRICT NUMBER, DISTRICT NAME, CENTRE NUMBER, CENTRE NAME, SUBJECT NAME,SUBJECT CODE, SUBJECT PAPER, TOTAL REGISTERED, PAPER ENCLOSED,ENVELOPES NUMBER, EACH ENVELOPE, LAST ENVOLOPE
1,ARUSHA,101,ARUSHA (V),S0110,ILBORU SECONDARY SCHOOL,GENERAL STUDIES,111,111/1,176,178,4,45,44
1,ARUSHA,101,ARUSHA (V),S0308,ENABOISHU SECONDARY SCHOOL,GENERAL STUDIES,111,111/1,174,176,4,44,44
1,ARUSHA,101,ARUSHA (V),S0454,ST.JOSEPH NGARENARO SEC. SCHOOL,GENERAL STUDIES,111,111/1,18,20,1,20,20
1,ARUSHA,101,ARUSHA (V),S0526,MRINGA SECONDARY SCHOOL,GENERAL STUDIES,111,111/1,173,175,4,44,43
1,ARUSHA,101,ARUSHA (V),S1178,ARUSHA MODERN SECONDARY SCHOOL,GENERAL STUDIES,111,111/1,68,70,2,35,35
1,ARUSHA,101,ARUSHA (V),S1442,MWANDET SECONDARY SCHOOL,GENERAL STUDIES,111,111/1,29,31,1,31,31
1,ARUSHA,101,ARUSHA (V),S1573,MLANGARINI SECONDARY SCHOOL,GENERAL STUDIES,111,111/1,34,36,1,36,36
1,ARUSHA,101,ARUSHA (V),S1600,BISHOP DURNING HIGH SCHOOL,GENERAL STUDIES,111,111/1,133,135,3,45,45
1,ARUSHA,101,ARUSHA (V),S4014,WINNING SPIRIT SECONDARY SCHOOL,GENERAL STUDIES,111,111/1,56,58,2,29,29
1,ARUSHA,101,ARUSHA (V),S4039,ST. THERESA OF THE CHILD JESUS,GENERAL STUDIES,111,111/1,92,94,2,47,47
1,ARUSHA,101,ARUSHA (V),S4746,CORNERSTONE LEADERSHIP SECONDARY SCHOOL,GENERAL STUDIES,111,111/1,62,64,2,32,32
1,ARUSHA,102,ARUSHA (M),S0302,ARUSHA SECONDARY SCHOOL,GENERAL STUDIES,111,111/1,154,156,4,39,39
