MKOA,JINA LA MKOA,WILAYA,JINA LA WILAYA,SHULE,JINA LA SHULE,CAL Packed ?
PS01,ARUSHA,1,ARUSHA,PS0101007,ENDONYOESOIYE PRIMARY SCHOOL,
PS01,ARUSHA,1,ARUSHA,PS0101019,IMBIBIA PRIMARY SCHOOL,
PS01,ARUSHA,1,ARUSHA,PS0101022,KAMBI YA MAZIWA PRIMARY SCHOOL,
PS01,ARUSHA,1,ARUSHA,PS0101051,MLANGARINI PRIMARY SCHOOL,
PS01,ARUSHA,1,ARUSHA,PS0101062,NATEMA PRIMARY SCHOOL,
PS01,ARUSHA,1,ARUSHA,PS0101098,ST MAGRET PRIMARY SCHOOL,
PS01,ARUSHA,1,ARUSHA,PS0101116,ASSALAF ISLAMIC PRIMARY SCHOOL,
PS01,ARUSHA,2,ARUSHA(M),PS0102003,BURKA PRIMARY SCHOOL,
PS01,ARUSHA,2,ARUSHA(M),PS0102006,KIMANDOLU PRIMARY SCHOOL,
PS01,ARUSHA,2,ARUSHA(M),PS0102018,SINON PRIMARY SCHOOL,
PS01,ARUSHA,2,ARUSHA(M),PS0102036,PRIME PRIMARY SCHOOL,
PS01,ARUSHA,2,ARUSHA(M),PS0102046,HADY PRIMARY SCHOOL,
PS01,ARUSHA,2,ARUSHA(M),PS0102076,HIGH CHALLENGE PRIMARY SCHOOL,
PS01,ARUSHA,2,ARUSHA(M),PS0102087,NAKIDO PRIMARY SCHOOL,
PS01,ARUSHA,2,ARUSHA(M),PS0102088,OLASITI PRIMARY SCHOOL,
PS01,ARUSHA,2,ARUSHA(M),PS0102089,OLKERYAN PRIMARY SCHOOL,
PS01,ARUSHA,2,ARUSHA(M),PS0102132,MAJENGO PRIMARY SCHOOL,
PS01,ARUSHA,3,KARATU,PS0103046,NJIAPANDA PRIMARY SCHOOL,
PS01,ARUSHA,3,KARATU,PS0103048,MAKHOROMBA PRIMARY SCHOOL,
PS01,ARUSHA,6,MONDULI,PS0106012,MAJENGO PRIMARY SCHOOL,
PS01,ARUSHA,7,NGORONGORO,PS0107005,ENDULEN PRIMARY SCHOOL,
PS01,ARUSHA,7,NGORONGORO,PS0107015,NAINOKANOKA PRIMARY SCHOOL,
PS01,ARUSHA,7,NGORONGORO,PS0107027,LORIEN PRIMARY SCHOOL,
PS02,DAR ES SALAAM,1,ILALA(V),PS0201001,BUYUNI-II PRIMARY SCHOOL,
PS02,DAR ES SALAAM,1,ILALA(V),PS0201015,KIBOGA PRIMARY SCHOOL,
PS02,DAR ES SALAAM,1,ILALA(V),PS0201027,KIMWANI PRIMARY SCHOOL,
PS02,DAR ES SALAAM,1,ILALA(V),PS0201056,BENEDICT PRIMARY SCHOOL,
PS02,DAR ES SALAAM,1,ILALA(V),PS0201060,FULL GOSPEL PRIMARY SCHOOL,
PS02,DAR ES SALAAM,1,ILALA(V),PS0201073,BLESSED HILL PRIMARY SCHOOL,
PS02,DAR ES SALAAM,1,ILALA(V),PS0201074,MAJMAAL BAHRAIN PRIMARY SCHOOL,
PS02,DAR ES SALAAM,1,ILALA(V),PS0201090,YANGE YANGE PRIMARY SCHOOL,
PS02,DAR ES SALAAM,2,ILALA(M),PS0202092,PATMO JUNIOR PRIMARY SCHOOL,
PS02,DAR ES SALAAM,2,ILALA(M),PS0202112,ABC CAPITAL PRIMARY SCHOOL,
PS02,DAR ES SALAAM,3,KINONDONI,PS0203050,KUNDUCHI,
PS02,DAR ES SALAAM,3,KINONDONI,PS0203084,KILIMANI,
PS02,DAR ES SALAAM,3,KINONDONI,PS0203088,ST. MARY’S MBEZI BEACH,
PS02,DAR ES SALAAM,3,KINONDONI,PS0203096,MIKOCHENI ISLAMIC,
PS02,DAR ES SALAAM,3,KINONDONI,PS0203126,ATLAS MADALE,
PS02,DAR ES SALAAM,3,KINONDONI,PS0203129,GREEN ACRES,
PS02,DAR ES SALAAM,4,UBUNGO,PS0204016,KIBWEGERE,
PS02,DAR ES SALAAM,4,UBUNGO,PS0204080,EMI PRIMARY SCHOOL,
PS02,DAR ES SALAAM,6,TEMEKE,PS0206012,MBAGALA PRIMARY SCHOOL,
